"id_fuente","ruta_relativa","extension","sha256","bytes","mtime_iso"
"src00001","Ingesta de datos.pdf","pdf","a3236d4f0282dc85f4e8e503e266b723e2d4a1d32844c9192f393a035a7543bf","29545","2025-09-29T22:43:38Z"
"src00002","resumen_global.md","md","b1770480a1a49b80c4c86938242e2a4e585d98fbfc631a20dc72b6959f86b9af","123","2025-09-29T22:43:38Z"
"src00003","psm_config_reporte_2025_09_29.md","md","75a11da44c802486bc6f65640aa48a730f0f684c5c07a42ba3cd1735eb3fb070","2","2025-09-29T22:43:38Z"
"src00004","Auditor_a_AR__con_enlaces_.csv","csv","976af8c737436833d8a2a27130162174cdd9f34280f3bba278dd4c56fef821bb","2778","2025-09-29T22:43:38Z"
"src00005","manifest_qa.json","json","4c4a04b2cdf55ecb5fd3a3bacb9d4b0c0c1a58c2a0352110ef49a5dee8350f89","705","2025-09-29T22:43:38Z"
"src00006","plantilla_esquema_anuncio_vs_disponibilidad.csv","csv","1abb87dcb1f1b231e6bd6db1ac2550a4852f6ca8c5c4d4de154eccc5262cb4b3","65","2025-09-29T22:43:38Z"
"src00007","Repo_AR_AUDIT_2025-09-29.md","md","7add3da1dc1e8b8ad32d52ede54e2ca59b89ce77026c97444369f34566b4b203","89186","2025-09-29T22:43:38Z"
"src00008","informe_grupo-otros.md","md","6ddc9524209fc47bc8cf71940abdaf28a278d0de1dd490180a7cd6cedaf71ae0","812","2025-09-29T22:43:38Z"
"src00009","Psm Config Reporte 2025-09-29.pdf","pdf","e82dea86577ad55b7b392d6a1ccd7fcd49e61f6f30982ff4977fdf7098a1953a","92381","2025-09-29T22:43:38Z"
"src00010","Reporte De Configuraci¿«n Y Criterios De Interpretaci¿«n í¬ Chat Gpt (settings).pdf","pdf","7309593fb7b507c0212fe1d23ddd24c610d5fdce035951dcd7f26feb7b78db50","82256","2025-09-29T22:43:38Z"
"src00011","mapa_trazabilidad.csv","csv","ca06349af1acb799517a7b254f702c8f92eea1c769ae168f905ff666a7a240c7","38779","2025-09-29T22:43:38Z"
"src00012","informes_sintetizados/informe_grupo-06_otros.md","md","00ad099d5649163ef716ed02e61e20dc1d4dd828318019341878df9b965ee752","1747","2025-09-29T22:43:36Z"
"src00013","informes_sintetizados/informe_grupo-08_ux-ui.md","md","cc73382ada88ae750418af92ca5ed52f77d423eaa516238c01afa45454b7c420","2602","2025-09-29T22:43:36Z"
"src00014","informes_sintetizados/informe_grupo-07_prompts-plantillas.md","md","fb673d4e0e8bc91fd5099f7c79f7ab0fe42548fc3e622b69ac609578c92f4346","10395","2025-09-29T22:43:36Z"
"src00015","informes_sintetizados/provenance.json","json","314dd011aec9bb146e774a0ccbfea98de7dc538567952ac4db187bf90f9870af","25855","2025-09-29T22:43:36Z"
"src00016","informes_sintetizados/resumen_global.md","md","50b9639a15fcfd302a680d0513efc7fd94b0846fe2ac7dacc8b17ccf8b036ec6","1069","2025-09-29T22:43:36Z"
"src00017","informes_sintetizados/manifest_qa.json","json","f19cd4d1fc712b0b4224847813f489516596c08843bca7af0459b1b06faf866b","1365","2025-09-29T22:43:36Z"
"src00018","informes_sintetizados/informe_grupo-02_automatizacion-scripting.md","md","b7b4b2eb62ca16be027195f20d68c19a27c5ff0d17eb9fbee845a9c885096146","6994","2025-09-29T22:43:36Z"
"src00019","informes_sintetizados/excluidos.md","md","bdafe9600ded8bbf49d20922acc416f0ba8e9cbc4f7adb244382cafa0ee6c896","83","2025-09-29T22:43:36Z"
"src00020","informes_sintetizados/informe_grupo-04_gestion-de-proyectos.md","md","891c2d1bafe31dcd5de0a465db16df9786578972f774e3af51ec29dae0b3fddb","1572","2025-09-29T22:43:36Z"
"src00021","informes_sintetizados/mapa_trazabilidad.csv","csv","7ec44fb6f5672c93271b81824a964611b57190b7909f33d4351ab1b93050db0c","50630","2025-09-29T22:43:36Z"
"src00022","informes_sintetizados/mapa_trazabilidad.md","md","3cdd3773114abcc85132e5fd0e4cff9645929d538738b3a3fb51a41d04e77e6e","22839","2025-09-29T22:43:36Z"
"src00023","informes_sintetizados/informe_grupo-01_analisis-de-datos.md","md","4bfaf34581e763599a7fb5d0d160a6da803de772890f7915741ad84cd202d96c","5139","2025-09-29T22:43:36Z"
"src00024","informes_sintetizados/informe_grupo-05_investigacion-sintesis.md","md","2d8d43ca48d1007f517cfdfdde06c9bcd294cbd679b1331acefc79c626fa7458","2183","2025-09-29T22:43:36Z"
"src00025","informes_sintetizados/informe_grupo-03_documentacion-sop.md","md","ae44fab919cefd763312e6bc790f171b9029d156fa991682a08dcfc2f7054128","1885","2025-09-29T22:43:36Z"
"src00026","informes_sintetizados/snippets/grupo-02_automatizacion-scripting_snippet_3.txt","txt","765e75e49f14d6e4b76d4dd91edd5a1ac8b963468fcd4a699c0dc296451576e3","265","2025-09-29T22:43:36Z"
"src00027","informes_sintetizados/snippets/grupo-02_automatizacion-scripting_snippet_2.txt","txt","eeaf387854aa3d89f38df1cc95f6beb8e8f4558e3c5a6ddbd415748057c81ff4","222","2025-09-29T22:43:36Z"
"src00028","informes_sintetizados/snippets/grupo-01_analisis-de-datos_snippet_1.txt","txt","8923a8a9e28d7f57537944e88f9cb933c2676ee7f9ce93e751417a288d588d30","124","2025-09-29T22:43:36Z"
